gene,SI_15001,SI_15002,SI_15003,SI_15004,SI_16462,SI_16463,SI_16464,SI_16465,SI_16466,SI_16467,SI_16468,GTEX.1117F.0226.SM.5GZZ7,GTEX.1117F.0426.SM.5EGHI,GTEX.1117F.0526.SM.5EGHJ,GTEX.1117F.0626.SM.5N9CS,GTEX.1117F.0726.SM.5GIEN,GTEX.1117F.1326.SM.5EGHH,GTEX.1117F.2426.SM.5EGGH,GTEX.1117F.2526.SM.5GZY6,GTEX.1117F.2826.SM.5GZXL,GTEX.1117F.2926.SM.5GZYI
ENSP00000301039,348,99,94,231,117,217,83,74,53,294,75,58,15,45,149,115,84,268,90,111,105
ENSP00000480347,282,1041,286,4813,79,638,883,167,1134,1604,990,152,2349,293,392,98,51,41,1098,142,1895
ENSP00000423860,2122,1218,62,33,224,506,26,22,79,1693,4292,147,16,10,2,98,0,6,3,507,59
ENSP00000419517,171,157,467,139,990,24,82,3191,60,237,49,1929,498,92,552,988,1133,478,238,231,532
ENSP00000452428,1244,501,1216,583,1065,237,1104,676,284,1663,578,3108,882,2595,2987,1406,2106,3453,5603,2839,3038
ENSP00000363315,1453,1204,1733,1095,902,123,591,1226,426,1013,414,1537,980,1269,1131,650,1098,1180,1871,1583,1328
ENSP00000449569,1148,757,1136,1202,547,124,475,520,273,1085,307,472,312,583,819,439,290,1262,807,767,495
ENSP00000370038,841,406,1009,683,543,148,204,630,259,405,361,647,67,459,884,465,726,1586,2402,758,1013
ENSP00000414624,637,533,523,544,273,135,305,388,174,539,198,1816,435,826,2202,1194,1415,1645,2864,2262,2003
ENSP00000464048,489,145,268,629,482,173,11,344,143,273,178,81,68,37,55,40,62,51,307,41,85
ENSP00000454789,4208,2903,5612,5049,2313,983,3843,3099,1151,3778,1345,2123,756,2301,2877,1434,1553,3427,3403,3020,2664
ENSP00000472962,29,21,249,25,12,11,0,56,2,20,12,12,0,3,13,6,34,19,50,11,16
ENSP00000463279,93,33,28,71,31,15,14,34,21,101,8,108,144,79,353,80,289,79,34,347,43
ENSP00000365740,220,216,289,350,195,19,203,349,171,466,124,820,269,543,792,428,460,925,1034,688,614
ENSP00000296666,5355,3663,5283,6454,4258,1026,438,4914,2858,2598,2883,2662,581,1960,2978,1733,2703,2551,3665,2855,2765
ENSP00000365201,18793,23219,18689,26493,12549,3789,16436,22370,8011,18657,8418,9383,5624,10713,13672,8182,9100,15583,16540,13462,8593
ENSP00000367894,484,338,552,468,578,87,59,404,244,500,360,942,389,858,1074,505,837,413,728,1130,340
ENSP00000296498,224,126,136,62,212,129,27,148,113,21,13,1064,5,16,14,4,14,84,1032,171,564
ENSP00000268281,60,66,553,73,168,15,48,200,48,74,29,193,25,34,251,68,86,17,99,85,142
ENSP00000280606,249,132,2122,414,316,52,451,498,52,204,51,574,83,535,501,156,243,573,401,291,294
ENSP00000501881,686,1313,1647,857,231,175,633,353,162,864,174,1027,405,772,888,399,285,815,422,913,492
ENSP00000245796,2753,1410,2472,3275,1113,963,2988,2270,969,1178,457,965,112,322,645,598,710,491,5487,1367,2132
ENSP00000379676,1211,572,959,583,678,131,139,616,216,406,395,3746,4871,3133,4986,2893,3363,3096,4284,4852,3892
ENSP00000444844,693,243,810,359,619,172,81,656,149,537,265,3630,9026,2722,2920,2509,2529,1652,3235,3745,3382
ENSP00000451816,1738,1328,1679,1945,814,139,510,775,185,542,330,2344,6356,1644,3066,2031,2099,1825,3108,2800,2464
ENSP00000473652,2380,1805,3170,2081,1120,310,1138,1455,533,1007,480,4031,8454,4470,4400,3804,2486,2993,3542,4475,4631
ENSP00000377384,128,97,81,153,203,143,46,47,25,82,41,128,39,162,189,91,75,175,164,201,104
ENSP00000157812,1899,1742,2313,2247,1146,256,1739,2370,622,1317,874,2148,4391,1797,2451,1453,1675,2047,2670,2933,2597
ENSP00000357879,2472,1713,3699,3184,1244,741,381,1518,776,1439,768,4862,13893,6356,4734,3816,3416,3697,4433,4683,4567
ENSP00000295901,1876,1303,1353,1311,1188,201,572,1147,493,864,669,2346,6865,2455,2196,1394,1701,1659,2852,2485,2762
ENSP00000514924,1444,1116,2754,1423,1429,455,828,2123,506,925,663,6855,20360,3968,4591,9070,4239,2923,4951,5677,7577
ENSP00000445058,448,394,655,443,223,58,336,395,138,278,124,1434,658,1040,1685,866,930,1148,2251,1577,1869
ENSP00000441682,1076,779,998,842,475,248,382,1058,219,458,280,3030,2628,2798,3484,1619,1801,1981,4424,3392,2304
