gene,TCGA.D7.5577.01A,TCGA.D7.6818.01A,TCGA.BR.4280.01A,TCGA.D7.8572.01A,GTEX.1399T.1326.SM.5PNVH,GTEX.13OVL.0011.R3b.SM.5L3I8,GTEX.Q2AI.0006.SM.2I3FG,GTEX.ZTSS.1226.SM.51MSZ
ENSP00000404672,0,18,0,8,159,0,0,0
ENSP00000445121,11,17,16,3,668,592,807,694
ENSP00000357726,49,165,98,301,1179,204,373,850
ENSP00000428480,3,34,1,7,0,0,0,0
ENSP00000477940,44,96,168,146,0,0,0,0
ENSP00000419018,166,270,154,178,902,1073,1010,879
ENSP00000356385,0,0,0,0,900,1014,751,935
ENSP00000486105,346,351,403,340,0,0,0,0
ENSP00000452097,0,0,28,31,495,652,0,317
ENSP00000426906,73,42,88,23,1093,928,824,1056
ENSP00000489978,60,142,43,127,0,100,0,100
ENSP00000312506,154,368,148,356,100,100,0,0
ENSP00000369689,7,0,0,0,0,0,0,0
ENSP00000276416,272,179,186,193,159,0,159,0
ENSP00000438840,30,13,50,68,0,0,0,0
ENSP00000403335,3,4,1,28,0,159,0,100
ENSP00000364107,0,0,0,577,200,370,100,409
ENSP00000477695,1,1,0,1,543,409,332,459
ENSP00000398178,312,363,127,181,0,0,0,0
ENSP00000288025,148,65,152,75,0,0,0,0
ENSP00000017003,241,305,250,331,947,1524,549,1162
ENSP00000261267,1025,672,734,760,159,259,692,100
ENSP00000510328,444,408,562,597,0,100,0,0
ENSP00000463485,349,316,330,353,0,0,0,0
ENSP00000515974,327,436,494,388,983,899,792,957
ENSP00000259400,211,250,268,273,0,100,0,0
ENSP00000296504,347,318,357,283,0,0,0,0
ENSP00000323424,364,362,358,457,0,0,0,0
ENSP00000456223,204,209,228,258,0,0,0,0
ENSP00000298596,101,124,208,120,0,0,159,0
ENSP00000325819,249,350,99,301,0,0,0,0
ENSP00000467764,132,80,148,139,0,0,100,0
ENSP00000355302,0,0,3,11,975,916,843,962
ENSP00000353643,584,635,629,553,0,0,0,0
ENSP00000356438,45,159,156,235,0,0,0,0
ENSP00000371051,228,263,286,319,0,100,100,0
ENSP00000426530,0,1,3,8,581,1000,100,728
ENSP00000434724,252,199,238,247,868,780,491,891
ENSP00000388869,156,144,187,206,0,0,0,0
ENSP00000354201,489,447,447,451,0,0,0,0
ENSP00000343818,226,325,237,312,0,0,0,0
ENSP00000236826,12,112,0,46,0,0,0,0
ENSP00000254166,93,72,47,128,0,0,0,0
ENSP00000365651,0,0,0,121,1051,944,857,993
ENSP00000369599,171,240,254,258,116,0,658,108
ENSP00000385570,196,352,386,281,0,0,0,0
ENSP00000324346,1,4,1,7,0,0,0,0
ENSP00000263650,150,239,203,275,699,732,593,759
ENSP00000280325,0,190,14,17,100,281,159,281
ENSP00000286574,7,0,2,23,100,100,0,0
ENSP00000424905,434,452,352,458,0,0,0,0
ENSP00000424628,231,195,371,344,0,0,0,0
ENSP00000498158,413,307,335,327,491,264,559,234
ENSP00000335575,0,0,0,7,159,159,0,0
ENSP00000324944,368,207,387,363,0,0,0,0
ENSP00000469707,489,418,409,406,159,200,100,346
ENSP00000255305,261,178,332,285,611,617,281,761
ENSP00000385941,1,2,0,9,0,0,0,0
ENSP00000230461,469,444,456,516,100,200,0,0
ENSP00000368517,58,47,36,292,0,0,0,0
ENSP00000410537,372,419,243,288,300,509,159,159
ENSP00000365944,402,340,315,271,0,100,0,0
ENSP00000390505,63,35,104,104,0,100,159,0
ENSP00000276704,193,197,178,195,1278,1223,1179,1273
ENSP00000424346,495,574,507,464,0,0,0,0
ENSP00000498819,0,0,0,0,0,0,0,0
ENSP00000424843,82,97,37,95,281,0,0,281
ENSP00000518838,573,568,381,432,0,0,0,0
ENSP00000380872,37,18,34,63,0,0,0,0
ENSP00000387705,149,122,134,190,0,0,0,100
ENSP00000362777,14,13,6,19,0,0,0,0
ENSP00000397291,152,245,321,289,904,675,1532,879
ENSP00000494528,6,6,2,13,0,0,0,0
ENSP00000367300,64,24,38,72,0,0,0,0
ENSP00000405289,30,49,59,91,0,0,0,0
ENSP00000374013,2,0,0,4,0,0,0,0
ENSP00000458671,374,392,278,408,0,0,0,0
ENSP00000451574,19,69,0,5,0,0,0,0
ENSP00000370839,282,382,383,378,926,958,723,1028
ENSP00000421725,304,734,64,26,991,1000,1105,1129
ENSP00000453426,3,3,3,9,0,159,0,0
ENSP00000322924,0,9,2,24,0,0,0,0
ENSP00000364110,0,18,0,8,615,748,549,718
ENSP00000416888,299,281,339,339,0,0,0,0
ENSP00000510198,728,721,756,730,0,0,0,0
ENSP00000357857,323,273,351,381,0,0,0,0
ENSP00000498115,305,302,301,355,0,0,0,0
ENSP00000348708,286,265,336,364,0,0,0,0
ENSP00000434830,4,29,2,46,0,100,0,100
ENSP00000342082,987,652,520,776,200,317,100,281
ENSP00000360133,187,179,189,180,0,0,0,0
ENSP00000350102,212,396,415,488,0,0,0,0
ENSP00000300651,298,314,320,326,784,159,0,724
ENSP00000276571,0,5,1,27,0,0,0,100
ENSP00000391983,3,0,0,10,0,0,0,0
ENSP00000449999,70,183,51,175,0,0,0,0
ENSP00000363228,363,332,426,404,0,385,549,463
ENSP00000376816,302,261,354,417,141,187,0,0
ENSP00000346635,50,350,167,131,321,0,100,66
ENSP00000420166,0,220,384,348,0,0,0,0
ENSP00000331211,127,104,107,207,0,0,0,0
ENSP00000303834,0,0,0,0,0,0,0,0
ENSP00000401518,177,179,180,171,1000,870,872,1002
ENSP00000485512,22,38,22,26,0,0,0,0
ENSP00000448122,189,191,242,289,262,281,0,591
ENSP00000383234,1,226,49,81,0,0,0,0
ENSP00000490942,2,68,1,19,0,0,0,0
ENSP00000397133,0,1,0,8,0,0,0,0
ENSP00000379060,337,267,310,412,0,0,0,0
ENSP00000304713,132,179,181,230,0,0,0,0
ENSP00000439056,261,216,176,268,0,0,0,0
ENSP00000354733,474,409,421,464,0,0,101,159
ENSP00000472350,660,671,577,506,0,0,0,0
ENSP00000237380,243,183,260,266,0,0,0,0
ENSP00000397239,0,1,0,2,0,0,0,0
ENSP00000413418,77,180,55,145,100,504,159,159
ENSP00000366173,0,20,9,38,929,159,200,405
ENSP00000310042,431,388,411,440,0,0,0,159
ENSP00000451359,123,7,72,154,0,100,0,0
ENSP00000499373,168,99,280,251,1014,897,769,1081
ENSP00000423068,513,106,406,413,0,159,100,0
ENSP00000473305,0,0,0,0,1116,839,1388,1239
ENSP00000284110,82,101,41,213,200,0,100,0
ENSP00000480588,98,187,79,56,783,905,400,648
ENSP00000303108,0,0,1,2,0,100,0,0
ENSP00000383866,535,519,500,378,300,399,100,368
ENSP00000353002,2,5,11,11,941,878,952,1018
ENSP00000385510,199,231,311,235,0,0,0,0
ENSP00000424500,1,1,1,14,1109,768,1452,1128
ENSP00000272542,339,342,300,349,0,0,0,0
ENSP00000444096,69,53,94,51,0,0,0,0
ENSP00000424927,188,176,267,308,0,0,0,0
ENSP00000490231,336,365,336,385,481,425,159,486
ENSP00000497069,183,189,208,258,0,0,0,0
ENSP00000296641,350,344,196,333,159,232,100,200
ENSP00000337548,201,261,146,187,0,100,0,0
ENSP00000390279,693,598,666,696,0,0,0,0
ENSP00000489227,0,0,0,5,100,0,0,100
ENSP00000248594,362,319,345,442,0,0,0,0
ENSP00000311398,0,0,0,13,1113,1032,1132,1179
ENSP00000478473,3,1,2,1,881,848,625,876
ENSP00000264664,6,55,15,128,0,0,0,0
ENSP00000475748,235,272,251,285,0,0,0,0
ENSP00000262187,473,416,415,426,0,100,0,0
ENSP00000216127,73,267,79,170,0,0,0,0
ENSP00000493071,0,0,0,4,0,0,0,0
ENSP00000489805,44,38,35,74,1318,1221,1101,1363
ENSP00000243644,43,112,140,121,1248,974,1180,1239
ENSP00000386239,266,258,260,322,0,0,0,0
ENSP00000441405,418,356,495,500,0,0,0,0
ENSP00000435317,268,283,199,264,100,159,0,0
ENSP00000505083,0,0,0,0,667,1016,159,1181
ENSP00000433203,352,378,329,403,1054,925,916,1052
ENSP00000359375,52,114,10,6,409,251,201,417
ENSP00000410470,103,136,122,117,488,317,232,441
ENSP00000261881,197,164,246,231,206,0,163,265
