Gene	Terms
RAPGEFL1	GO:0005085,GO:0007264
SLC38A3	GO:0016020
ARL17A	GO:0003924,GO:0005525
CACNB2	GO:0005245,GO:0070588,GO:0042383,GO:0005891
RFC2	GO:0003677,GO:0005524,GO:0006260
ADAMTSL5	GO:0005576
MPC1	GO:0006850,GO:0005739,GO:0005743
DDX3X	GO:0005524,GO:0016787,GO:0005654,GO:0005829
GNA11	GO:0003924,GO:0005525,GO:0031683,GO:0046872,GO:0007186,GO:0016020
UQCRC2	GO:0004222,GO:0046872,GO:0006508
CYFIP1	GO:0031267,GO:0030833,GO:0005737,GO:0045202
ZMYND8	GO:0046872,GO:0006355,GO:0005654,GO:0005730
ZNF229	GO:0046872,GO:0006355,GO:0005634
POLR2E	GO:0003677,GO:0003899,GO:0006351,GO:0005654,GO:0055029
UBE2D1	GO:0005524,GO:0019787,GO:0000209
ZBTB8OS	GO:0046872,GO:0008033
ALOX5AP	GO:0008047,GO:0019370,GO:0005789,GO:0031965
CYP1B1	GO:0005506,GO:0008395,GO:0016705,GO:0020037,GO:0008202,GO:0042445,GO:0005789
SCMH1	GO:0005634
NUDT18	GO:0016787,GO:0046872
CD24	GO:0007155,GO:0043231
METTL2A	GO:0008173,GO:0008757,GO:0001510,GO:0008033,GO:0005737
CRYL1	GO:0070403,GO:0006631
SH3GLB1	GO:0008289,GO:0006915,GO:0000139,GO:0000421,GO:0005741,GO:0005829
POLE	GO:0000166,GO:0003677,GO:0003887,GO:0046872,GO:0051539,GO:0006260,GO:0006281,GO:0071897,GO:0008622
FANCC	GO:0036297,GO:0005737,GO:0043240
PHF2	GO:0008270
ASPH	GO:0062101
CORO1B	GO:0001725
SRGAP2B	GO:0007399
TMEM231	GO:0060170
TARDBP	GO:0003723,GO:0005634
CACNA1A	GO:0005245,GO:0046872,GO:0070588,GO:0005891
ABCB7	GO:0005524,GO:0016887,GO:0140359,GO:0055085,GO:0005743
PSMD1	GO:0030234,GO:0042176,GO:0008540
DDB2	GO:0003684,GO:0006281,GO:0005654,GO:0030054,GO:0080008
RAD54L	GO:0004386,GO:0005524,GO:0016787,GO:0140658,GO:0006338
ARHGAP21	GO:0007165,GO:0000139,GO:0005886,GO:0015629,GO:0030054,GO:0030659
GPR89B	GO:0034220,GO:0034702
BCL2L13	GO:0006915,GO:0042981
CROCC	GO:0005813,GO:0005829,GO:0005886,GO:0015629
GPR89B	GO:0034220,GO:0034702
CHMP2B	GO:0001778,GO:0007080,GO:0031468,GO:0039702,GO:0043162,GO:0046761,GO:0061952,GO:0071985,GO:0097352,GO:1901673,GO:1902774,GO:0000776,GO:0005765,GO:0005828,GO:0005829,GO:0030496,GO:0032585,GO:1904930,GO:0005643
GTF2IRD2B	GO:0005634
SYN2	GO:0007269,GO:0008021
GRIPAP1	GO:0005654,GO:0005829,GO:0043231
KIF1B	GO:0003777,GO:0005524,GO:0008017,GO:0007018,GO:0005874,GO:0030424,GO:0031410,GO:0045202
RET	GO:0004713,GO:0005509,GO:0005524,GO:0007156,GO:0016020
RAB13	GO:0003924,GO:0005525,GO:0015031,GO:0005829,GO:0005886,GO:0055038
NCAM1	GO:0007155,GO:0005829,GO:0005886
TAFAZZIN	GO:0016746,GO:0006644,GO:0005741,GO:0005743
CDH23	GO:0005509,GO:0007156,GO:0016020
RBIS	GO:0042254,GO:0005654,GO:0005730,GO:0005829
SLC4A1AP	GO:0005654,GO:0005886,GO:0043231
CSNK1G2	GO:0004672,GO:0005524,GO:0005737
POLD2	GO:0003677,GO:0006260,GO:0071897,GO:0005654,GO:0043625
ATRX	GO:0000166,GO:0003677,GO:0016787,GO:0000781,GO:0005634
SSH3	GO:0003779,GO:0017018,GO:0030837
ZNG1C	GO:0005525,GO:0016787,GO:0005634
UHRF1	GO:0003677,GO:0042393,GO:0046872,GO:0061630,GO:0016567,GO:0005634
RPL17	GO:0003735,GO:0006412,GO:0015934
LRMDA	GO:0005515,GO:0005515,GO:0005515,GO:0005515
